Comuna,Dose,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
Aisén,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,250,315,315,315,315,315,315,315,315,315,315,315,315,315,316,484,784,1059,1059,1059,1271,1475,1687,1944,2352,2352,2352,2632,2839,3119,3313,3493,3512,3512,3711,3966,4234,4375,4491,4500,4500,4658,4850,5035,5130,5256,5256,5256,5371,5461,5590,5725,5836,5836,5836,5984,6171,6314,6573,6687,6687,6687,6790,6926,7030,7121,7226,7226,7226,7369,7528,7611,7716,7716,7716,7716,7818,7904,7992,8062,8137,8137,8137,8230,8316,8375,8449,8547,8547,8547,8605,8686,8740,8831,8907,8907,8907,9003,9087,9187,9279,9346,9422,9422,9550,9668,9750,9848,9921,9921,9921,10058,10157,10270,10344,10427,10443,10443,10586,10747,10922,11118,11118,11278,11278,11752,12098,12459,12727,13093,13209,13209,13497,13771,13963,14054,14082,14082,14082,14185,14346,14453
Aisén,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,274,312,312,312,312,312,312,312,312,312,312,312,312,313,315,315,315,315,315,315,315,317,465,739,993,993,993,1195,1394,1608,1843,2161,2161,2161,2516,2844,3144,3364,3577,3590,3590,3813,4026,4170,4284,4386,4386,4386,4532,4701,4854,4912,4914,4914,4914,5123,5236,5337,5416,5537,5537,5537,5720,5909,6034,6263,6388,6388,6388,6474,6603,6701,6792,6901,6901,6901,7046,7145,7248,7368,7393,7393,7393,7478,7554,7639,7719,7790,7792,7792,7885,7980,8047,8090,8125,8128,8128,8253,8361,8429,8541,8541,8551,8551,8682,8748,8894,9004,9142,9148,9148,9280,9383,9459,9571,9645,9646,9646,9756,9910,10021
Algarrobo,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,225,343,629,629,1070,1633,2065,2490,2908,3024,3024,3854,4639,5518,5919,6283,6283,6283,6453,6572,6644,6728,6783,6783,6783,6959,7173,7361,7551,7774,7789,7789,8070,8234,8301,8559,8736,8790,8790,8973,9175,9382,9563,9718,9774,9774,9944,10025,10180,10342,10527,10527,10527,10690,10847,10986,11137,11177,11207,11207,11297,11391,11495,11551,11640,11640,11640,11756,11832,11898,11966,12009,12009,12009,12048,12075,12108,12195,12233,12233,12233,12336,12412,12420,12485,12516,12516,12516,12578,12641,12774,12895,13046,13046,13046,13194,13326,13464,13584,13702,13702,13702,13867,14012,14144,14282,14282,14282,14282,14444,14446,14709,14903,14905,14905,14905,14972,15190,15329,15355,15373,15373,15373,15404,15420,15443
Algarrobo,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,213,356,551,553,1024,1582,1964,2448,2867,2967,2967,3804,4578,5399,5824,6157,6170,6170,6354,6458,6543,6631,6700,6700,6700,6877,7073,7252,7455,7581,7641,7641,7919,8091,8195,8430,8609,8610,8610,8815,8995,9149,9370,9543,9544,9544,9752,9852,9992,10157,10333,10333,10333,10534,10677,10735,10916,10989,10990,10990,11093,11189,11310,11374,11453,11453,11453,11554,11634,11705,11763,11802,11802,11802,11845,11886,11928,12000,12001,12002,12003,12094,12140,12216,12271,12280,12282,12282,12298,12351,12461,12552,12660,12662,12663,12799,12882,13048
Alhué,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,132,155,155,230,301,376,437,470,470,470,586,752,831,917,1001,1072,1072,1099,1144,1182,1237,1286,1311,1311,1380,1422,1469,1507,1545,1547,1547,1600,1693,1747,1780,1864,1864,1864,1930,2007,2052,2097,2144,2170,2170,2214,2263,2304,2363,2448,2450,2450,2536,2641,2711,2781,2781,2781,2781,2889,2939,2963,2985,3007,3007,3007,3044,3091,3116,3137,3176,3176,3176,3262,3283,3299,3313,3333,3333,3333,3357,3373,3384,3395,3419,3419,3419,3455,3479,3482,3540,3590,3590,3590,3667,3749,3810,3871,3963,3963,3963,4040,4136,4189,4271,4271,4271,4271,4399,4558,4637,4721,4869,4869,4869,4977,4977,5096,5196,5273,5273,5273,5348,5413,5469
Alhué,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,68,131,149,149,218,288,358,400,452,457,457,569,729,812,887,971,1039,1039,1088,1125,1155,1202,1258,1285,1285,1351,1401,1443,1499,1499,1499,1499,1555,1652,1703,1744,1821,1821,1821,1886,1961,2014,2041,2090,2090,2090,2156,2208,2248,2301,2380,2380,2380,2465,2560,2607,2670,2702,2702,2702,2804,2849,2876,2911,2933,2933,2933,2976,3027,3052,3080,3115,3115,3115,3193,3214,3230,3259,3259,3259,3259,3289,3307,3326,3340,3369,3369,3369,3403,3428,3436,3486,3539,3539,3539,3606,3678,3748
Alto Biobío,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,58,83,83,83,104,132,161,185,228,228,228,299,344,399,421,432,432,432,447,457,474,498,503,503,503,536,549,563,587,597,597,597,605,614,642,666,686,686,686,704,725,740,768,777,777,777,819,828,841,860,878,878,878,901,915,917,943,943,943,943,959,975,1001,1011,1021,1021,1021,1030,1041,1050,1060,1064,1064,1064,1078,1084,1092,1094,1098,1098,1098,1110,1158,1200,1224,1241,1241,1241,1274,1309,1346,1369,1380,1380,1380,1414,1424,1457,1473,1482,1482,1482,1514,1542,1563,1587,1587,1587,1587,1661,1723,1783,1871,1931,1931,1931,1973,1974,1975,1976,1980,1980,1980,1986,1988,1988.0
Alto Biobío,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48,74,74,74,91,105,130,146,188,189,189,241,300,347,363,383,383,383,399,408,421,450,458,458,458,479,496,507,523,523,523,523,541,547,568,596,618,618,618,629,650,668,686,696,696,696,735,743,761,778,790,790,790,812,828,840,858,863,863,863,873,881,906,933,940,940,940,954,965,973,986,990,990,990,1004,1009,1017,1020,1020,1020,1020,1055,1087,1124,1150,1172,1173,1173,1203,1223,1257,1289,1301,1301,1301,1324,1332,1345
Alto del Carmen,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,92,140,194,194,194,302,407,503,598,639,639,639,665,728,774,839,866,866,866,932,988,1010,1037,1057,1057,1057,1084,1107,1133,1161,1174,1174,1174,1202,1235,1266,1303,1326,1326,1326,1350,1393,1417,1497,1537,1537,1537,1570,1589,1613,1635,1658,1658,1658,1680,1706,1721,1746,1746,1746,1746,1761,1775,1786,1801,1810,1810,1810,1810,1836,1871,1883,1912,1912,1912,1928,1960,1977,1996,2010,2010,2010,2015,2034,2051,2064,2074,2074,2074,2093,2134,2153,2171,2181,2181,2181,2203,2224,2239,2257,2284,2284,2284,2296,2306,2332,2370,2370,2370,2370,2443,2491,2560,2613,2663,2663,2663,2704,2755,2777,2784,2788,2788,2788,2807,2840,2860
Alto del Carmen,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,91,139,189,189,189,295,398,494,593,627,627,627,653,731,761,824,852,852,852,916,973,995,1020,1037,1037,1037,1065,1084,1109,1133,1133,1133,1133,1173,1200,1228,1260,1289,1289,1289,1315,1348,1386,1462,1495,1495,1495,1523,1554,1569,1576,1598,1598,1598,1602,1622,1652,1682,1696,1696,1696,1710,1721,1729,1743,1745,1746,1746,1754,1784,1797,1815,1834,1834,1834,1853,1882,1912,1936,1936,1936,1936,1949,1975,1994,2011,2023,2023,2023,2039,2074,2093,2108,2118,2118,2118,2147,2169,2188
Alto Hospicio,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,613,777,823,823,1065,1390,2031,2728,3311,3349,3349,4397,5330,5854,6261,6594,6610,6610,6941,7362,7921,8479,8878,8889,8889,9262,9630,9987,10339,10759,10776,10776,11199,11562,11925,12366,12851,12895,12895,13478,14030,14516,15045,15663,15715,15715,16243,16817,17365,17942,18713,18742,18742,19469,20035,20645,21190,21190,21190,21190,21656,22180,22822,23351,23936,23964,23964,24656,25182,25676,26216,26638,26672,26672,27216,27766,28125,28494,28944,28976,28976,29345,29713,30426,30800,31094,31094,31094,31533,31871,32231,32527,32856,32958,32958,33345,33779,34276,34669,35075,35075,35075,35455,35850,36233,36623,36623,36912,36912,37757,38635,39499,40290,40958,41213,41213,42014,42689,43346,43920,44402,44627,44627,45194,45709,46169
Alto Hospicio,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293,541,725,771,771,993,1313,1927,2581,3143,3176,3176,4212,5303,6244,7067,7571,7590,7590,7965,8164,8324,8428,8630,8643,8643,8951,9271,9601,9921,9921,9921,9921,10620,11073,11482,11904,12276,12308,12308,12824,13383,13865,14302,14761,14803,14803,15432,16087,16599,17060,17472,17502,17502,18354,18915,19506,20092,20261,20262,20262,20686,21145,21513,22071,22509,22628,22628,23314,23901,24308,24733,25234,25235,25235,25840,26331,26702,27178,27181,27282,27282,27762,28204,28590,29001,29317,29394,29396,29828,30175,30532,30799,31081,31157,31160,31600,32003,32404
Ancud,First,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,520,900,1304,1403,1440,1894,2452,3030,3688,4118,4313,4338,5095,5807,6318,6761,7094,7158,7158,7522,7853,8221,8548,8785,8790,8790,9121,9539,10067,10403,10696,10793,10793,11186,11560,11920,12261,12576,12697,12706,13148,13558,13896,14226,14509,14583,14583,14856,15129,15447,15683,15910,15926,15926,16211,16400,16557,16800,16800,16800,16800,17001,17163,17323,17440,17615,17645,17645,17836,18034,18178,18321,18448,18531,18531,18535,18538,18538,18647,18742,18742,18742,18868,19012,19131,19244,19296,19296,19296,19523,19738,19895,20087,20263,20263,20263,20474,20710,20971,21184,21400,21400,21400,21661,21975,22177,22455,22455,22455,22455,22873,23025,23225,23469,23798,23798,23798,24172,24679,24970,25072,25284,25284,25284,25578,25827,26116
Ancud,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,477,853,1244,1283,1320,1791,2338,2903,3547,3979,4182,4205,5050,5914,6609,7236,7692,7770,7770,8020,8302,8479,8625,8775,8777,8777,8970,9368,9848,10235,10235,10235,10235,10829,11027,11373,11743,12155,12262,12262,12752,13156,13503,13830,14119,14165,14165,14410,14700,15041,15240,15465,15466,15466,15741,15981,16159,16390,16432,16432,16432,16627,16766,16915,17059,17206,17207,17207,17384,17585,17773,17916,18035,18035,18035,18115,18172,18202,18365,18365,18365,18365,18498,18637,18763,18871,18955,18956,18957,19067,19320,19500,19648,19801,19804,19804,20003,20260,20496
Andacollo,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,180,325,460,460,460,620,746,968,1149,1307,1307,1307,1604,1718,1892,1937,1977,1977,1977,2061,2120,2178,2244,2310,2310,2310,2393,2476,2525,2578,2625,2625,2625,2689,2766,2825,2927,3011,3011,3011,3107,3202,3272,3344,3410,3410,3410,3476,3522,3629,3704,3793,3793,3793,3889,3989,4061,4115,4115,4115,4115,4197,4268,4329,4372,4420,4426,4426,4499,4552,4629,4678,4732,4737,4737,4780,4802,4824,4846,4871,4871,4871,4903,4926,4961,4994,5068,5068,5068,5112,5160,5205,5260,5308,5308,5308,5391,5460,5567,5621,5694,5694,5694,5779,5844,5914,5975,5975,5975,5975,6123,6263,6421,6513,6619,6619,6619,6694,6724,6733,6776,6832,6832,6832,6902,6957,7025
Andacollo,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,88,93,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,172,294,432,432,432,590,719,937,1122,1275,1275,1275,1556,1685,1860,1899,1949,1949,1949,2026,2092,2143,2205,2279,2279,2279,2354,2426,2471,2526,2526,2526,2526,2576,2642,2711,2839,2944,2946,2946,3037,3131,3205,3270,3337,3337,3337,3415,3460,3551,3624,3699,3700,3700,3759,3807,3917,3988,4014,4014,4014,4093,4159,4216,4259,4309,4309,4309,4379,4437,4503,4555,4604,4604,4604,4674,4697,4727,4748,4748,4749,4749,4788,4822,4856,4871,4875,4875,4875,4962,5023,5054,5081,5114,5114,5114,5162,5192,5232
Angol,First,0,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1128,1958,2225,2225,2225,2669,3315,4089,4951,5834,5834,5834,6512,7214,7887,8642,9404,9404,9404,9867,10441,10932,11130,11758,11862,11862,12343,13095,13552,13960,14406,14406,14406,14840,15276,15732,16419,17017,17017,17017,17527,18193,18800,19230,19707,19707,19707,20021,20367,20705,20981,21319,21319,21319,21654,22019,22365,22739,22739,22739,22739,22908,23162,23415,23598,23863,23863,23863,23948,24170,24407,24637,24829,24829,24829,24951,25130,25228,25381,25508,25508,25508,25609,25737,25885,25967,26168,26168,26168,26293,26564,26845,27078,27318,27318,27318,27572,27865,28093,28384,28669,28669,28669,28861,29195,29543,29934,30219,30378,30378,30786,31244,31707,32194,32594,32594,32594,33057,33544,34030,34412,34598,34701,34701,34955,35240,35521
Angol,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,93,93,93,93,93,1038,1876,2141,2144,2144,2573,3168,3937,4777,5664,5664,5666,6360,7074,7832,8695,9439,9440,9440,9923,10546,11012,11153,11613,11613,11613,12110,12806,13259,13636,13636,13636,13636,14388,14918,15383,16016,16606,16606,16606,17119,17724,18328,18755,19242,19242,19244,19574,19912,20228,20500,20843,20844,20844,21182,21537,21898,22252,22296,22296,22296,22433,22675,22953,23143,23377,23377,23377,23479,23698,23921,24150,24335,24335,24335,24463,24637,24742,24903,24916,24923,24924,25133,25315,25484,25574,25733,25733,25733,25854,26059,26258,26420,26593,26598,26598,26816,27093,27302
Antofagasta,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,3162,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,3907,4126,6151,8724,10855,10970,10970,13260,16051,19672,24116,28447,29024,29024,33549,36914,39844,42235,44314,44429,44429,46762,48994,51096,52588,54324,54324,54324,56974,60053,63272,66257,68771,68775,68775,71456,75021,78208,82297,85938,85966,85966,89419,93019,96703,99901,103019,103068,103094,106661,110157,113509,116580,119640,119855,120026,123232,125894,128703,131429,131618,131766,131920,133786,135863,138364,140164,141676,142068,142177,144341,146096,147965,149545,150931,151456,151575,152445,152964,153445,154396,155009,155419,155444,156086,156628,157324,157702,158882,158915,158951,160663,162477,164180,165866,167590,168274,168504,170764,173064,175069,177050,179220,179359,179431,182066,185220,187975,190685,191140,192058,192217,196356,200989,203894,207850,211265,211393,211492,215526,216949,217984,219445,221095,221596,221616,223317,225222,227940
Antofagasta,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,3144,3739,3739,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3751,3752,3864,3864,3866,3867,3867,3867,4387,6483,8860,10670,10673,10673,12985,15715,19159,23482,27623,28041,28041,33076,37375,40978,43789,46466,46576,46579,48824,50343,51628,52667,53741,53741,53741,55868,58697,61610,65234,65237,65238,65238,69234,72798,76094,78460,82668,82823,82825,86691,90177,93752,96735,99436,99826,99863,103663,106868,109928,112870,115727,116034,116182,119131,120885,124029,126709,127686,127805,127898,129787,131666,134065,135789,137320,137667,137764,139877,141642,143246,144588,145959,146032,146121,147237,148232,148975,150110,150217,150476,150506,151581,152595,153239,153912,154994,155026,155055,156333,157517,158806,159904,161113,161446,161493,163775,165906,167792
Antuco,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,105,159,159,159,255,308,361,433,511,511,511,591,658,712,765,810,810,810,847,878,896,928,946,946,946,995,1045,1100,1140,1193,1193,1193,1233,1276,1303,1350,1431,1431,1431,1479,1530,1569,1588,1633,1633,1633,1698,1731,1779,1809,1846,1846,1846,1903,1933,1971,2001,2001,2001,2001,2032,2060,2082,2105,2134,2134,2134,2170,2189,2209,2225,2245,2245,2245,2266,2292,2303,2313,2321,2321,2321,2337,2345,2350,2359,2362,2362,2362,2376,2386,2403,2436,2455,2455,2455,2483,2499,2513,2536,2561,2561,2561,2573,2597,2612,2632,2632,2632,2632,2691,2732,2787,2834,2891,2891,2891,2938,2973,3014,3031,3059,3059,3059,3066,3083,3090
Antuco,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,62,109,109,109,179,264,330,410,486,486,486,565,631,678,726,769,770,770,813,845,864,893,917,917,917,923,969,1012,1056,1056,1056,1056,1107,1142,1185,1249,1341,1341,1341,1370,1388,1419,1477,1544,1544,1544,1617,1664,1695,1731,1765,1765,1765,1831,1862,1896,1921,1931,1931,1931,1967,1996,2023,2049,2070,2070,2070,2105,2121,2143,2158,2183,2183,2183,2194,2211,2226,2237,2237,2237,2237,2260,2282,2293,2303,2316,2316,2316,2332,2338,2350,2365,2381,2381,2381,2395,2411,2423
Arauco,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,369,769,1276,1276,1276,1747,2248,2795,3277,3762,3806,3806,4266,4574,4805,4979,5157,5176,5176,5375,5560,5760,5957,6072,6101,6101,6417,6773,7170,7458,7678,7678,7678,8032,8317,8622,9077,9387,9387,9387,9795,10244,10612,10898,11264,11267,11267,11522,11763,12043,12286,12645,12645,12645,12937,13161,13409,13735,13735,13735,13735,13918,14108,14295,14457,14606,14625,14625,14736,14836,14952,15085,15174,15174,15174,15272,15333,15380,15503,15593,15593,15593,15681,15759,15849,15927,16112,16112,16112,16283,16482,16646,16875,17097,17097,17097,17357,17644,17922,18163,18269,18269,18269,18485,18741,19000,19221,19223,19223,19223,19686,20138,20596,20983,21301,21301,21301,21620,21922,22219,22370,22440,22440,22440,22525,22581,22682
Arauco,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,334,715,1175,1176,1176,1655,2132,2639,3132,3612,3654,3654,4108,4421,4670,4847,5021,5043,5043,5245,5433,5633,5829,5953,5984,5984,6281,6624,6989,7298,7370,7370,7370,7800,8083,8378,8819,9124,9125,9125,9503,9895,10255,10554,10855,10858,10859,11150,11399,11673,11906,12216,12217,12218,12539,12778,13032,13339,13403,13403,13403,13575,13764,13943,14088,14186,14203,14203,14355,14471,14605,14726,14766,14766,14766,14852,14946,15027,15163,15163,15163,15163,15311,15415,15502,15614,15764,15765,15765,15921,16087,16223,16381,16534,16537,16538,16787,17059,17311
Arica,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,2074,2762,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2919,4358,7138,9506,9778,9779,12146,14655,17666,20397,23275,23391,23391,25995,28031,30137,32204,34241,34292,34292,36244,38141,39444,40570,42613,42806,42806,44281,45465,46463,47270,48269,48330,48330,49452,50455,51661,53291,54620,54717,54717,55958,57598,59104,61229,62312,62376,62376,63508,64787,66193,67680,69207,69314,69314,70654,72020,73212,74359,74445,74584,74584,75539,76915,77812,78713,78963,78963,78963,79874,80780,81755,82472,83165,83196,83196,83938,84690,85362,86340,86747,86805,86805,87407,88158,88765,89187,89629,89633,89633,90507,91299,92419,93340,94171,94253,94253,95405,96682,97856,98921,100010,100069,100069,101310,102702,104142,105652,105808,106601,106601,108599,110987,113005,115230,117029,117439,117439,119476,121347,121820,121820.0,121820.50,121820.5.0,121820.5.0,121820.5.1820,121820.5.18213000,121820.5.182130015370
Arica,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,2045,2688,2756,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2760,2775,2786,2798,2805,2805,2805,2807,2868,4119,6912,9112,9339,9340,11577,14076,16875,19594,22426,22518,22518,25424,28229,30872,33317,35428,35467,35467,37538,39610,40810,41602,42354,42355,42355,43228,44260,45069,45935,45942,45944,45944,47496,48767,49985,51504,52571,52622,52622,53390,55099,56772,58584,59487,59537,59539,60146,62058,63535,64244,65697,65717,65720,67293,68925,70236,71287,71663,71663,71663,72559,73649,74484,74640,74845,74852,74852,76002,77202,78047,78550,79123,79136,79137,80047,81015,81769,82509,82550,82702,82703,83541,84334,84963,85676,86235,86276,86279,87012,88197,88703,89444,90152,90245,90248,90438,92015,93291
Buin,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,235,850,1337,2146,2146,2146,3378,4530,5725,6694,7723,7723,7723,8850,9595,10230,10904,11528,11528,11528,11977,12384,12718,13107,13366,13366,13366,14154,15010,15731,16881,17770,17770,17770,18762,19659,20449,21576,22508,22508,22508,23518,24493,25422,26527,27414,27414,27414,28478,29504,30554,31650,32830,32830,32830,33865,34719,35709,36735,36735,36735,36735,37115,37146,37575,37929,38252,38252,38252,38650,39062,39419,39896,40308,40308,40308,40561,40691,40811,41159,41351,41351,41351,41568,41717,42007,42235,42322,42322,42322,42795,43414,44010,44578,45283,45283,45283,46146,46993,47823,48606,49511,49511,49511,50714,51813,52764,53627,53627,53627,53627,54765,56012,57084,58289,59441,59853,59853,60978,61997,62691,62716,62717,62742,62742,62973,63482,63587
Buin,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,222,740,1245,1964,1966,1966,3123,4235,5455,6437,7387,7391,7391,8567,9422,10244,11095,11946,11948,11948,12430,12694,12861,13012,13113,13113,13113,13808,14596,15291,16279,16279,16279,16279,17832,18840,19561,20512,21444,21451,21452,22570,23693,24551,25574,26345,26393,26393,27500,28529,29511,30491,31361,31375,31376,32451,33194,34222,35174,35323,35323,35323,35747,36042,36480,36818,37143,37145,37145,37525,38011,38395,38771,39189,39189,39189,39325,39523,39687,40016,40016,40019,40019,40288,40585,40787,41080,41233,41291,41291,41611,42072,42552,42928,43117,43241,43242,44060,44758,44942
