Comuna,Dose,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
San Fabián,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,109,191,282,282,282,348,420,603,660,719,719,719,860,920,966,1002,1045,1045,1045,1113,1201,1233,1269,1281,1281,1281,1333,1409,1441,1467,1498,1498,1498,1542,1599,1636,1662,1737,1737,1737,1791,1830,1866,1908,1949,1949,1949,1997,2029,2055,2073,2104,2104,2104,2134,2177,2195,2224,2224,2224,2224,2248,2265,2291,2308,2320,2320,2320,2333,2350,2361,2367,2383,2383,2383,2394,2411,2420,2431,2439,2439,2439,2446,2470,2479,2485,2498,2498,2498,2528,2566,2595,2624,2642,2642,2642,2666,2686,2717,2738,2769,2774,2794,2823,2859,2921,3007,3007,3007,3007,3065,3112,3149,3191,3230,3283,3283,3314,3358,3389,3406,3432,3450,3450,3465,3475,3498
San Fabián,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,109,190,275,275,277,342,418,584,650,708,710,710,848,914,961,995,1041,1042,1042,1109,1190,1229,1265,1275,1275,1275,1318,1393,1428,1452,1452,1452,1452,1518,1579,1614,1643,1707,1707,1707,1760,1801,1837,1878,1917,1917,1917,1944,1966,1987,2031,2065,2065,2065,2099,2139,2166,2188,2197,2197,2197,2213,2233,2257,2271,2282,2283,2283,2293,2309,2320,2332,2349,2350,2353,2365,2378,2393,2407,2407,2407,2407,2425,2448,2455,2461,2476,2479,2479,2511,2543,2567,2582,2601,2603,2603,2630,2648,2675
San Felipe,First,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,309,950,1806,2431,2431,2431,3740,4757,5707,6716,7679,7881,7881,9185,10129,10751,11276,11692,11736,11736,12262,12649,13037,13455,13862,14131,14131,14745,15388,16233,16921,17533,17533,17533,18052,18636,19382,20311,21025,21025,21025,21712,22428,22995,23578,24067,24072,24072,24534,24986,25515,26018,26570,26570,26570,27272,27888,28374,28884,28884,28884,28884,29295,29659,30062,30286,30553,30553,30553,30942,31253,31584,31833,32081,32081,32081,32314,32490,32616,32850,33010,33010,33010,33249,33452,33647,33756,33868,33868,33868,34209,34550,34889,35169,35507,35561,35561,35986,36438,36824,37162,37480,37541,37541,38002,38498,38913,39325,39325,39551,39551,40090,40966,41687,42260,42789,42863,42863,43625,44374,44633,44711,44747,44756,44756,44925,45304,45728
San Felipe,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,262,876,1700,2313,2314,2314,3589,4577,5550,6605,7553,7554,7554,8886,10128,10993,11719,12117,12163,12163,12999,13473,13712,13885,14042,14048,14048,14655,15161,15962,16789,16790,16791,16791,17662,18291,18953,19871,20505,20506,20507,21189,21867,22439,23007,23477,23479,23479,24007,24428,24916,25208,25689,25693,25693,26519,27185,27633,28035,28077,28078,28078,28431,28819,29274,29582,29853,29864,29865,30190,30484,30812,31079,31294,31295,31295,31549,31729,31857,32147,32148,32170,32171,32392,32706,32883,33026,33149,33155,33157,33373,33717,34025,34297,34549,34612,34612,35123,35574,35941
San Fernando,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,675,1003,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,2032,2678,3345,3345,3345,3972,4686,5561,6408,7412,7452,7452,8461,9345,10316,10991,11612,11628,11628,12147,12629,13037,13484,13912,13927,13927,14611,15482,16248,16991,17645,17662,17662,18248,18830,19386,20104,20867,20867,20867,21447,21998,22517,23141,23669,23670,23670,24312,24889,25427,26012,26710,26710,26710,27417,27983,28440,28973,28973,28973,28973,29061,29485,29856,29877,29910,29910,29910,30249,30509,30677,31038,31286,31286,31286,31541,31719,31879,32132,32352,32352,32352,32527,32550,32731,32839,33026,33026,33026,33481,33893,34312,34664,35090,35090,35090,35576,36052,36547,36985,37440,37440,37440,37810,38413,39034,39553,39632,39632,39632,40345,41126,41754,42296,42905,42905,42905,43560,44227,44719,44913,44961,44961,44963,45271,45687,46111
San Fernando,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,685,1039,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1292,1298,1300,1300,1300,1300,1304,1999,2632,3266,3268,3268,3894,4586,5454,6239,7197,7246,7246,8345,9419,10543,11474,12276,12294,12294,12834,13145,13373,13579,13774,13774,13774,14318,15142,16097,16976,16976,16976,16977,17750,18343,18900,19606,20342,20344,20344,20908,21446,21950,22503,23066,23068,23068,23702,24282,24809,25329,26020,26023,26023,26731,27298,27780,28262,28371,28371,28371,28507,28892,29230,29317,29373,29373,29373,29672,29968,30163,30507,30721,30721,30721,30859,31075,31274,31635,31637,31637,31637,31856,31957,32039,32115,32254,32258,32258,32593,32970,33390,33746,34136,34137,34137,34607,35118,35611
San Gregorio,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,82,99,102,102,128,137,158,175,175,175,175,180,194,198,200,205,205,205,205,210,214,215,215,215,215,215,215,215,215,221,222,223,225,227,239,242,281,281,281,292,306,312,319,324,324,326,328,337,338,356,359,362,362,371,388,400,403,403,403,403,408,410,413,419,421,424,424,424,424,424,428,433,434,434,436,438,450,451,454,455,456,457,463,464,464,464,464,464,469,469,469,471,477,477,477,481,483,486,486,486,486,486,487,495,495,497,498,498,498,498,501,504,504,505,505,505,506,506,506,506,506,506,506,506,506,506
San Gregorio,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,91,91,91,116,127,140,151,164,164,164,166,178,181,190,194,194,194,195,203,207,207,209,209,209,210,210,210,210,210,210,210,217,219,221,235,249,250,251,255,258,262,284,293,293,293,308,311,323,330,332,334,334,347,367,373,374,375,375,375,392,394,395,397,399,399,399,403,403,406,406,410,410,410,413,415,415,422,425,425,425,429,432,436,436,441,441,441,441,441,443,446,447,447,447,451,459,459
San Ignacio,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,352,521,521,521,762,1073,1329,1623,1870,1870,1870,2084,2354,2546,2806,3053,3053,3053,3215,3359,3475,3569,3645,3645,3645,3760,3869,3963,4049,4095,4095,4095,4251,4453,4595,4811,4999,4999,4999,5167,5347,5484,5628,5769,5769,5769,5892,6021,6142,6308,6454,6454,6454,6560,6678,6771,6966,6966,6966,6966,7067,7160,7219,7312,7418,7418,7418,7471,7545,7587,7634,7689,7689,7689,7735,7769,7813,7852,7878,7878,7878,7917,7947,7990,8023,8052,8052,8052,8128,8199,8269,8338,8409,8409,8409,8488,8592,8679,8751,8846,8846,8846,8897,9043,9228,9497,9497,9497,9497,9648,9864,10012,10188,10365,10365,10365,10513,10634,10734,10792,10858,10858,10858,10904,10951,11010
San Ignacio,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138,326,494,494,494,725,1019,1274,1573,1806,1808,1808,2020,2294,2476,2740,2998,2999,2999,3144,3299,3416,3508,3590,3590,3590,3705,3796,3884,3989,3989,3989,3989,4143,4353,4511,4717,4903,4904,4904,5064,5240,5385,5538,5679,5679,5679,5808,5932,6031,6199,6345,6345,6345,6461,6554,6658,6800,6863,6863,6864,6958,7051,7120,7214,7305,7305,7305,7365,7440,7485,7543,7598,7598,7598,7637,7666,7710,7765,7765,7765,7765,7815,7855,7901,7951,7980,7983,7983,8048,8100,8151,8195,8258,8258,8258,8320,8420,8517
